year,months,mau_start,mau_end,paid_users_end,total_orders,total_gmv,order_fee_revenue,subscription_revenue,forwarder_cashback_revenue,total_revenue,bog_processing_costs,labour_costs,marketing_costs,infrastructure_costs,tax_total,cashback_liability_issued,other_costs,total_costs,net_profit,ebitda_margin_pct,cumulative_net_end_of_year
Year 1,Mo 1-12,250,3200,0,30396,790296,118544.4,0.0,0.0,118544.4,17386.51,9000.0,24600.0,3935.0,1185.44,592.72,2190,58889.67,59654.73,50.3,59654.73
Year 2,Mo 13-24,3650,10000,7200,150955,3924830,588724.5,240256.8,150955.0,979936.3,78496.6,33800.0,37500.0,8540.0,105970.41,2943.62,2910,270160.63,709775.67,72.4,769430.4
